true,pred
1.000000000000000000e+00,9.993750452995300293e-01
1.000000000000000000e+00,9.995158314704895020e-01
1.000000000000000000e+00,9.995324015617370605e-01
1.000000000000000000e+00,9.994866251945495605e-01
1.000000000000000000e+00,9.991958737373352051e-01
1.000000000000000000e+00,9.992066025733947754e-01
1.000000000000000000e+00,9.996523261070251465e-01
1.000000000000000000e+00,9.992021918296813965e-01
1.000000000000000000e+00,9.993680119514465332e-01
1.000000000000000000e+00,9.991934895515441895e-01
1.000000000000000000e+00,9.993713498115539551e-01
1.000000000000000000e+00,9.991012215614318848e-01
1.000000000000000000e+00,9.992545247077941895e-01
1.000000000000000000e+00,9.990652203559875488e-01
1.000000000000000000e+00,9.989634156227111816e-01
1.000000000000000000e+00,9.993968605995178223e-01
1.000000000000000000e+00,9.998556971549987793e-01
1.000000000000000000e+00,9.994613528251647949e-01
1.000000000000000000e+00,1.000030398368835449e+00
1.000000000000000000e+00,9.999161362648010254e-01
1.000000000000000000e+00,9.994208216667175293e-01
1.000000000000000000e+00,9.994762539863586426e-01
1.000000000000000000e+00,9.996841549873352051e-01
1.000000000000000000e+00,9.996096491813659668e-01
1.000000000000000000e+00,9.996991753578186035e-01
1.000000000000000000e+00,9.998502135276794434e-01
1.000000000000000000e+00,9.995949864387512207e-01
1.000000000000000000e+00,9.994955658912658691e-01
1.000000000000000000e+00,9.996872544288635254e-01
1.000000000000000000e+00,9.995540976524353027e-01
1.000000000000000000e+00,9.993417859077453613e-01
1.000000000000000000e+00,9.993901848793029785e-01
1.000000000000000000e+00,9.992114901542663574e-01
1.000000000000000000e+00,9.997192025184631348e-01
1.000000000000000000e+00,9.996698498725891113e-01
1.000000000000000000e+00,9.992584586143493652e-01
1.000000000000000000e+00,9.993569254875183105e-01
1.000000000000000000e+00,9.996269345283508301e-01
1.000000000000000000e+00,9.997335076332092285e-01
1.000000000000000000e+00,9.993917346000671387e-01
1.000000000000000000e+00,9.991584420204162598e-01
1.000000000000000000e+00,9.994903206825256348e-01
1.000000000000000000e+00,9.995778203010559082e-01
1.000000000000000000e+00,9.992007613182067871e-01
1.000000000000000000e+00,9.996014237403869629e-01
1.000000000000000000e+00,9.995664954185485840e-01
1.000000000000000000e+00,9.995228648185729980e-01
1.000000000000000000e+00,9.992974400520324707e-01
1.000000000000000000e+00,9.996393322944641113e-01
1.000000000000000000e+00,9.994559884071350098e-01
1.000000000000000000e+00,9.992814660072326660e-01
1.000000000000000000e+00,9.995115399360656738e-01
1.000000000000000000e+00,9.992827773094177246e-01
1.000000000000000000e+00,9.992647767066955566e-01
1.000000000000000000e+00,9.995177388191223145e-01
1.000000000000000000e+00,9.995258450508117676e-01
1.000000000000000000e+00,9.997305274009704590e-01
1.000000000000000000e+00,9.994773268699645996e-01
1.000000000000000000e+00,9.993445277214050293e-01
1.000000000000000000e+00,9.996808171272277832e-01
1.000000000000000000e+00,9.993699193000793457e-01
1.000000000000000000e+00,9.993827939033508301e-01
1.000000000000000000e+00,9.997281432151794434e-01
1.000000000000000000e+00,9.996007084846496582e-01
1.000000000000000000e+00,9.999013543128967285e-01
1.000000000000000000e+00,9.996691346168518066e-01
1.000000000000000000e+00,9.996016621589660645e-01
1.000000000000000000e+00,9.996736645698547363e-01
1.000000000000000000e+00,9.998676180839538574e-01
1.000000000000000000e+00,9.998913407325744629e-01
1.000000000000000000e+00,9.998671412467956543e-01
1.000000000000000000e+00,9.998992085456848145e-01
1.000000000000000000e+00,9.998484253883361816e-01
1.000000000000000000e+00,9.993694424629211426e-01
1.000000000000000000e+00,9.997051358222961426e-01
1.000000000000000000e+00,9.996256232261657715e-01
1.000000000000000000e+00,9.993907809257507324e-01
1.000000000000000000e+00,9.999888539314270020e-01
1.000000000000000000e+00,9.994242787361145020e-01
1.000000000000000000e+00,9.998353123664855957e-01
1.000000000000000000e+00,9.996401667594909668e-01
1.000000000000000000e+00,9.999303221702575684e-01
1.000000000000000000e+00,1.000285744667053223e+00
1.000000000000000000e+00,1.000012278556823730e+00
1.000000000000000000e+00,9.999327063560485840e-01
1.000000000000000000e+00,1.000090122222900391e+00
1.000000000000000000e+00,9.998593926429748535e-01
1.000000000000000000e+00,9.999324679374694824e-01
1.000000000000000000e+00,9.994707703590393066e-01
1.000000000000000000e+00,1.000080466270446777e+00
1.000000000000000000e+00,9.995511174201965332e-01
1.000000000000000000e+00,9.995215535163879395e-01
1.000000000000000000e+00,9.998715519905090332e-01
1.000000000000000000e+00,9.998418688774108887e-01
1.000000000000000000e+00,9.995090365409851074e-01
1.000000000000000000e+00,9.998885989189147949e-01
1.000000000000000000e+00,9.998268485069274902e-01
1.000000000000000000e+00,1.000138401985168457e+00
1.000000000000000000e+00,9.999471306800842285e-01
1.000000000000000000e+00,9.997127652168273926e-01
1.000000000000000000e+00,9.997060894966125488e-01
1.000000000000000000e+00,1.000171065330505371e+00
1.000000000000000000e+00,9.999204277992248535e-01
1.000000000000000000e+00,1.000140786170959473e+00
1.000000000000000000e+00,1.000154376029968262e+00
1.000000000000000000e+00,9.999666810035705566e-01
1.000000000000000000e+00,9.999945759773254395e-01
1.000000000000000000e+00,1.000159859657287598e+00
1.000000000000000000e+00,1.000126719474792480e+00
1.000000000000000000e+00,9.999852776527404785e-01
1.000000000000000000e+00,9.997811913490295410e-01
1.000000000000000000e+00,1.000011086463928223e+00
1.000000000000000000e+00,1.000063061714172363e+00
1.000000000000000000e+00,9.999379515647888184e-01
1.000000000000000000e+00,1.000126242637634277e+00
1.000000000000000000e+00,1.000470757484436035e+00
1.000000000000000000e+00,1.000342249870300293e+00
1.000000000000000000e+00,9.999002814292907715e-01
1.000000000000000000e+00,1.000209212303161621e+00
1.000000000000000000e+00,1.000146627426147461e+00
1.000000000000000000e+00,9.999887347221374512e-01
1.000000000000000000e+00,1.000382542610168457e+00
1.000000000000000000e+00,9.998288750648498535e-01
1.000000000000000000e+00,1.000438809394836426e+00
1.000000000000000000e+00,1.000015258789062500e+00
1.000000000000000000e+00,1.000240445137023926e+00
1.000000000000000000e+00,9.996545910835266113e-01
1.000000000000000000e+00,1.000164031982421875e+00
1.000000000000000000e+00,9.999089837074279785e-01
1.000000000000000000e+00,9.999013543128967285e-01
1.000000000000000000e+00,9.994013905525207520e-01
1.000000000000000000e+00,9.998214840888977051e-01
1.000000000000000000e+00,9.999433159828186035e-01
1.000000000000000000e+00,9.999378323554992676e-01
1.000000000000000000e+00,1.000079989433288574e+00
1.000000000000000000e+00,9.997113347053527832e-01
1.000000000000000000e+00,9.999570250511169434e-01
1.000000000000000000e+00,9.995264410972595215e-01
1.000000000000000000e+00,1.000029563903808594e+00
1.000000000000000000e+00,9.999139904975891113e-01
1.000000000000000000e+00,1.000043034553527832e+00
1.000000000000000000e+00,9.998605847358703613e-01
1.000000000000000000e+00,9.996708035469055176e-01
1.000000000000000000e+00,9.996226429939270020e-01
1.000000000000000000e+00,1.000276207923889160e+00
1.000000000000000000e+00,1.000038027763366699e+00
1.000000000000000000e+00,1.000118255615234375e+00
1.000000000000000000e+00,9.999743103981018066e-01
1.000000000000000000e+00,1.000020027160644531e+00
1.000000000000000000e+00,1.000018835067749023e+00
1.000000000000000000e+00,1.000115513801574707e+00
1.000000000000000000e+00,1.000215888023376465e+00
1.000000000000000000e+00,1.000063061714172363e+00
1.000000000000000000e+00,9.998356699943542480e-01
1.000000000000000000e+00,1.000262618064880371e+00
1.000000000000000000e+00,9.999770522117614746e-01
1.000000000000000000e+00,9.999976754188537598e-01
1.000000000000000000e+00,9.999510645866394043e-01
1.000000000000000000e+00,1.000293016433715820e+00
1.000000000000000000e+00,1.000105619430541992e+00
1.000000000000000000e+00,9.998529553413391113e-01
1.000000000000000000e+00,1.000126719474792480e+00
1.000000000000000000e+00,1.000513911247253418e+00
1.000000000000000000e+00,1.000273585319519043e+00
1.000000000000000000e+00,1.000179171562194824e+00
1.000000000000000000e+00,1.000063300132751465e+00
1.000000000000000000e+00,1.000262260437011719e+00
1.000000000000000000e+00,1.000183701515197754e+00
1.000000000000000000e+00,9.997921586036682129e-01
1.000000000000000000e+00,9.997128844261169434e-01
1.000000000000000000e+00,1.000032186508178711e+00
1.000000000000000000e+00,9.998484253883361816e-01
1.000000000000000000e+00,9.996969103813171387e-01
1.000000000000000000e+00,1.000298023223876953e+00
1.000000000000000000e+00,1.000298500061035156e+00
1.000000000000000000e+00,9.999515414237976074e-01
1.000000000000000000e+00,1.000131726264953613e+00
1.000000000000000000e+00,1.000372290611267090e+00
1.000000000000000000e+00,1.000338912010192871e+00
1.000000000000000000e+00,1.000422954559326172e+00
1.000000000000000000e+00,1.000399351119995117e+00
1.000000000000000000e+00,1.000259876251220703e+00
1.000000000000000000e+00,1.000108122825622559e+00
1.000000000000000000e+00,1.000236034393310547e+00
1.000000000000000000e+00,1.000222444534301758e+00
1.000000000000000000e+00,1.000098466873168945e+00
1.000000000000000000e+00,9.999590516090393066e-01
1.000000000000000000e+00,1.000357866287231445e+00
1.000000000000000000e+00,1.000367760658264160e+00
1.000000000000000000e+00,1.000171065330505371e+00
1.000000000000000000e+00,1.000328421592712402e+00
1.000000000000000000e+00,1.000573992729187012e+00
1.000000000000000000e+00,1.000445008277893066e+00
1.000000000000000000e+00,1.000314354896545410e+00
1.000000000000000000e+00,1.000349521636962891e+00
1.000000000000000000e+00,1.000367522239685059e+00
1.000000000000000000e+00,1.000494241714477539e+00
1.000000000000000000e+00,1.000470757484436035e+00
1.000000000000000000e+00,1.000158667564392090e+00
1.000000000000000000e+00,1.000659584999084473e+00
1.000000000000000000e+00,1.000087857246398926e+00
1.000000000000000000e+00,1.000194311141967773e+00
1.000000000000000000e+00,1.000366568565368652e+00
1.000000000000000000e+00,1.000218033790588379e+00
1.000000000000000000e+00,1.000418186187744141e+00
1.000000000000000000e+00,1.000252485275268555e+00
1.000000000000000000e+00,1.000211000442504883e+00
1.000000000000000000e+00,1.000346660614013672e+00
1.000000000000000000e+00,9.998963475227355957e-01
1.000000000000000000e+00,1.000095725059509277e+00
1.000000000000000000e+00,9.999862313270568848e-01
1.000000000000000000e+00,1.000149130821228027e+00
1.000000000000000000e+00,1.000108480453491211e+00
1.000000000000000000e+00,1.000314116477966309e+00
1.000000000000000000e+00,1.000234723091125488e+00
1.000000000000000000e+00,1.000602126121520996e+00
1.000000000000000000e+00,1.000086545944213867e+00
1.000000000000000000e+00,1.000381827354431152e+00
1.000000000000000000e+00,1.000185132026672363e+00
1.000000000000000000e+00,1.000558137893676758e+00
1.000000000000000000e+00,9.997993111610412598e-01
1.000000000000000000e+00,1.000335812568664551e+00
1.000000000000000000e+00,1.000398278236389160e+00
1.000000000000000000e+00,1.000442743301391602e+00
1.000000000000000000e+00,9.999069571495056152e-01
1.000000000000000000e+00,9.995246529579162598e-01
1.000000000000000000e+00,9.994360804557800293e-01
1.000000000000000000e+00,9.999396204948425293e-01
1.000000000000000000e+00,9.997468590736389160e-01
1.000000000000000000e+00,9.998912215232849121e-01
1.000000000000000000e+00,9.994798302650451660e-01
1.000000000000000000e+00,9.995265603065490723e-01
1.000000000000000000e+00,1.000040173530578613e+00
1.000000000000000000e+00,9.999013543128967285e-01
1.000000000000000000e+00,9.997144341468811035e-01
1.000000000000000000e+00,9.995810389518737793e-01
1.000000000000000000e+00,1.000370740890502930e+00
1.000000000000000000e+00,9.999495148658752441e-01
1.000000000000000000e+00,1.000126123428344727e+00
1.000000000000000000e+00,9.994199872016906738e-01
1.000000000000000000e+00,1.000282287597656250e+00
1.000000000000000000e+00,1.000038743019104004e+00
1.000000000000000000e+00,1.000357031822204590e+00
1.000000000000000000e+00,1.000210165977478027e+00
1.000000000000000000e+00,1.000351548194885254e+00
1.000000000000000000e+00,1.000475645065307617e+00
1.000000000000000000e+00,1.000334501266479492e+00
1.000000000000000000e+00,1.000201106071472168e+00
1.000000000000000000e+00,1.000309109687805176e+00
1.000000000000000000e+00,9.998013377189636230e-01
1.000000000000000000e+00,1.000140905380249023e+00
1.000000000000000000e+00,1.000269532203674316e+00
1.000000000000000000e+00,1.000077843666076660e+00
1.000000000000000000e+00,1.000007271766662598e+00
1.000000000000000000e+00,1.000364422798156738e+00
1.000000000000000000e+00,1.000097990036010742e+00
1.000000000000000000e+00,1.000468850135803223e+00
1.000000000000000000e+00,1.000764608383178711e+00
1.000000000000000000e+00,1.000806927680969238e+00
1.000000000000000000e+00,1.000383138656616211e+00
1.000000000000000000e+00,1.000576257705688477e+00
1.000000000000000000e+00,1.000793218612670898e+00
1.000000000000000000e+00,1.000629782676696777e+00
1.000000000000000000e+00,1.000636100769042969e+00
1.000000000000000000e+00,1.000396132469177246e+00
1.000000000000000000e+00,1.000330448150634766e+00
1.000000000000000000e+00,1.000683665275573730e+00
1.000000000000000000e+00,1.000483512878417969e+00
1.000000000000000000e+00,1.000676274299621582e+00
1.000000000000000000e+00,1.000611901283264160e+00
1.000000000000000000e+00,1.000487446784973145e+00
1.000000000000000000e+00,1.000681996345520020e+00
1.000000000000000000e+00,1.000469565391540527e+00
1.000000000000000000e+00,1.000028491020202637e+00
1.000000000000000000e+00,1.000172019004821777e+00
1.000000000000000000e+00,1.000526189804077148e+00
1.000000000000000000e+00,1.000098109245300293e+00
1.000000000000000000e+00,9.997752308845520020e-01
1.000000000000000000e+00,1.000491261482238770e+00
1.000000000000000000e+00,1.000327229499816895e+00
1.000000000000000000e+00,1.000526189804077148e+00
1.000000000000000000e+00,1.000525116920471191e+00
1.000000000000000000e+00,1.000502705574035645e+00
1.000000000000000000e+00,1.000400662422180176e+00
1.000000000000000000e+00,1.000505328178405762e+00
1.000000000000000000e+00,1.000522017478942871e+00
1.000000000000000000e+00,1.000201940536499023e+00
1.000000000000000000e+00,1.000257849693298340e+00
1.000000000000000000e+00,9.998262524604797363e-01
1.000000000000000000e+00,1.000273942947387695e+00
1.000000000000000000e+00,9.999760985374450684e-01
1.000000000000000000e+00,1.000210165977478027e+00
1.000000000000000000e+00,9.999423623085021973e-01
1.000000000000000000e+00,1.000156521797180176e+00
1.000000000000000000e+00,1.000365018844604492e+00
1.000000000000000000e+00,1.000371813774108887e+00
1.000000000000000000e+00,9.999611973762512207e-01
1.000000000000000000e+00,1.000016808509826660e+00
1.000000000000000000e+00,1.000188112258911133e+00
1.000000000000000000e+00,1.000370144844055176e+00
1.000000000000000000e+00,1.000406384468078613e+00
1.000000000000000000e+00,1.000109553337097168e+00
1.000000000000000000e+00,1.000287413597106934e+00
1.000000000000000000e+00,9.999468922615051270e-01
1.000000000000000000e+00,9.999395012855529785e-01
1.000000000000000000e+00,9.999726414680480957e-01
1.000000000000000000e+00,1.000167369842529297e+00
1.000000000000000000e+00,9.999638199806213379e-01
1.000000000000000000e+00,9.999919533729553223e-01
1.000000000000000000e+00,1.000123023986816406e+00
1.000000000000000000e+00,1.000102519989013672e+00
1.000000000000000000e+00,1.000173091888427734e+00
1.000000000000000000e+00,9.999282956123352051e-01
1.000000000000000000e+00,1.000205636024475098e+00
1.000000000000000000e+00,9.999898076057434082e-01
1.000000000000000000e+00,1.000100493431091309e+00
1.000000000000000000e+00,9.998851418495178223e-01
1.000000000000000000e+00,1.000240445137023926e+00
1.000000000000000000e+00,1.000375390052795410e+00
1.000000000000000000e+00,1.000240325927734375e+00
1.000000000000000000e+00,1.000299453735351562e+00
1.000000000000000000e+00,1.000183582305908203e+00
1.000000000000000000e+00,1.000271320343017578e+00
