true,pred
1.000000000000000000e+00,1.003619074821472168e+00
1.000000000000000000e+00,1.003221154212951660e+00
1.000000000000000000e+00,1.003260016441345215e+00
1.000000000000000000e+00,1.002841591835021973e+00
1.000000000000000000e+00,1.003597140312194824e+00
1.000000000000000000e+00,1.003574490547180176e+00
1.000000000000000000e+00,1.003250479698181152e+00
1.000000000000000000e+00,1.003322243690490723e+00
1.000000000000000000e+00,1.003998517990112305e+00
1.000000000000000000e+00,1.003789067268371582e+00
1.000000000000000000e+00,1.003330826759338379e+00
1.000000000000000000e+00,1.003267049789428711e+00
1.000000000000000000e+00,1.003896236419677734e+00
1.000000000000000000e+00,1.003858923912048340e+00
1.000000000000000000e+00,1.003596305847167969e+00
1.000000000000000000e+00,1.003387808799743652e+00
1.000000000000000000e+00,1.002194881439208984e+00
1.000000000000000000e+00,1.003531455993652344e+00
1.000000000000000000e+00,1.002597212791442871e+00
1.000000000000000000e+00,1.002681374549865723e+00
1.000000000000000000e+00,1.003307700157165527e+00
1.000000000000000000e+00,1.002780556678771973e+00
1.000000000000000000e+00,1.002781629562377930e+00
1.000000000000000000e+00,1.002752900123596191e+00
1.000000000000000000e+00,1.002676129341125488e+00
1.000000000000000000e+00,1.003317236900329590e+00
1.000000000000000000e+00,1.002771377563476562e+00
1.000000000000000000e+00,1.002708077430725098e+00
1.000000000000000000e+00,1.002821803092956543e+00
1.000000000000000000e+00,1.003343701362609863e+00
1.000000000000000000e+00,1.003942131996154785e+00
1.000000000000000000e+00,1.003401279449462891e+00
1.000000000000000000e+00,1.003031253814697266e+00
1.000000000000000000e+00,1.002859354019165039e+00
1.000000000000000000e+00,1.002600550651550293e+00
1.000000000000000000e+00,1.002911925315856934e+00
1.000000000000000000e+00,1.002668499946594238e+00
1.000000000000000000e+00,1.003537058830261230e+00
1.000000000000000000e+00,1.002808332443237305e+00
1.000000000000000000e+00,1.003217816352844238e+00
1.000000000000000000e+00,1.003024816513061523e+00
1.000000000000000000e+00,1.003286004066467285e+00
1.000000000000000000e+00,1.003248810768127441e+00
1.000000000000000000e+00,1.003570675849914551e+00
1.000000000000000000e+00,1.003102183341979980e+00
1.000000000000000000e+00,1.002941131591796875e+00
1.000000000000000000e+00,1.003065466880798340e+00
1.000000000000000000e+00,1.003413438796997070e+00
1.000000000000000000e+00,1.003096222877502441e+00
1.000000000000000000e+00,1.002574324607849121e+00
1.000000000000000000e+00,1.003437161445617676e+00
1.000000000000000000e+00,1.002647519111633301e+00
1.000000000000000000e+00,1.003749966621398926e+00
1.000000000000000000e+00,1.003301858901977539e+00
1.000000000000000000e+00,1.003224253654479980e+00
1.000000000000000000e+00,1.002979636192321777e+00
1.000000000000000000e+00,1.002658367156982422e+00
1.000000000000000000e+00,1.002893090248107910e+00
1.000000000000000000e+00,1.003000855445861816e+00
1.000000000000000000e+00,1.002491950988769531e+00
1.000000000000000000e+00,1.003097534179687500e+00
1.000000000000000000e+00,1.002600073814392090e+00
1.000000000000000000e+00,1.002616405487060547e+00
1.000000000000000000e+00,1.002623915672302246e+00
1.000000000000000000e+00,1.002327203750610352e+00
1.000000000000000000e+00,1.003174662590026855e+00
1.000000000000000000e+00,1.002379775047302246e+00
1.000000000000000000e+00,1.002624988555908203e+00
1.000000000000000000e+00,1.002995848655700684e+00
1.000000000000000000e+00,1.001844882965087891e+00
1.000000000000000000e+00,1.002378106117248535e+00
1.000000000000000000e+00,1.003097176551818848e+00
1.000000000000000000e+00,1.003146767616271973e+00
1.000000000000000000e+00,1.003224730491638184e+00
1.000000000000000000e+00,1.003117799758911133e+00
1.000000000000000000e+00,1.003210425376892090e+00
1.000000000000000000e+00,1.003145575523376465e+00
1.000000000000000000e+00,1.001686811447143555e+00
1.000000000000000000e+00,1.002887845039367676e+00
1.000000000000000000e+00,1.002658128738403320e+00
1.000000000000000000e+00,1.001574635505676270e+00
1.000000000000000000e+00,1.002936363220214844e+00
1.000000000000000000e+00,1.000980496406555176e+00
1.000000000000000000e+00,1.001660466194152832e+00
1.000000000000000000e+00,1.001814723014831543e+00
1.000000000000000000e+00,1.001258850097656250e+00
1.000000000000000000e+00,1.002836823463439941e+00
1.000000000000000000e+00,1.002473235130310059e+00
1.000000000000000000e+00,1.003063082695007324e+00
1.000000000000000000e+00,1.001169681549072266e+00
1.000000000000000000e+00,1.003310084342956543e+00
1.000000000000000000e+00,1.001402020454406738e+00
1.000000000000000000e+00,1.001614451408386230e+00
1.000000000000000000e+00,1.002673387527465820e+00
1.000000000000000000e+00,1.002250075340270996e+00
1.000000000000000000e+00,1.002365827560424805e+00
1.000000000000000000e+00,1.002247214317321777e+00
1.000000000000000000e+00,1.002525687217712402e+00
1.000000000000000000e+00,1.002099633216857910e+00
1.000000000000000000e+00,1.001653552055358887e+00
1.000000000000000000e+00,1.002468705177307129e+00
1.000000000000000000e+00,1.001369714736938477e+00
1.000000000000000000e+00,1.001027822494506836e+00
1.000000000000000000e+00,1.000652909278869629e+00
1.000000000000000000e+00,1.001801729202270508e+00
1.000000000000000000e+00,1.002123951911926270e+00
1.000000000000000000e+00,1.001581549644470215e+00
1.000000000000000000e+00,1.001944422721862793e+00
1.000000000000000000e+00,1.001007914543151855e+00
1.000000000000000000e+00,1.002296924591064453e+00
