true,pred
1.000000000000000000e+00,9.980658888816833496e-01
1.000000000000000000e+00,9.975388646125793457e-01
1.000000000000000000e+00,9.989599585533142090e-01
1.000000000000000000e+00,9.984915852546691895e-01
1.000000000000000000e+00,9.967284798622131348e-01
1.000000000000000000e+00,9.976947903633117676e-01
1.000000000000000000e+00,9.968679547309875488e-01
1.000000000000000000e+00,9.983566403388977051e-01
1.000000000000000000e+00,9.986863732337951660e-01
1.000000000000000000e+00,9.980655312538146973e-01
1.000000000000000000e+00,9.979150891304016113e-01
1.000000000000000000e+00,9.971943497657775879e-01
1.000000000000000000e+00,9.986364245414733887e-01
1.000000000000000000e+00,9.985657334327697754e-01
1.000000000000000000e+00,9.973688721656799316e-01
1.000000000000000000e+00,9.986070990562438965e-01
1.000000000000000000e+00,9.985036253929138184e-01
1.000000000000000000e+00,9.990364909172058105e-01
1.000000000000000000e+00,9.969721436500549316e-01
1.000000000000000000e+00,9.991427063941955566e-01
1.000000000000000000e+00,9.978614449501037598e-01
1.000000000000000000e+00,9.985411763191223145e-01
1.000000000000000000e+00,9.988289475440979004e-01
1.000000000000000000e+00,9.988930821418762207e-01
1.000000000000000000e+00,9.992106556892395020e-01
1.000000000000000000e+00,9.983647465705871582e-01
1.000000000000000000e+00,9.997890591621398926e-01
1.000000000000000000e+00,9.987301230430603027e-01
1.000000000000000000e+00,9.980271458625793457e-01
1.000000000000000000e+00,9.990889430046081543e-01
1.000000000000000000e+00,9.998870491981506348e-01
1.000000000000000000e+00,9.982597231864929199e-01
1.000000000000000000e+00,9.974020123481750488e-01
1.000000000000000000e+00,9.982827305793762207e-01
1.000000000000000000e+00,9.990145564079284668e-01
1.000000000000000000e+00,9.992714524269104004e-01
1.000000000000000000e+00,9.989224076271057129e-01
1.000000000000000000e+00,9.987681508064270020e-01
1.000000000000000000e+00,9.987857937812805176e-01
1.000000000000000000e+00,9.988749623298645020e-01
1.000000000000000000e+00,9.985277056694030762e-01
1.000000000000000000e+00,9.978368878364562988e-01
1.000000000000000000e+00,9.983870387077331543e-01
1.000000000000000000e+00,9.978287816047668457e-01
1.000000000000000000e+00,9.980619549751281738e-01
1.000000000000000000e+00,9.981792569160461426e-01
1.000000000000000000e+00,9.983657002449035645e-01
1.000000000000000000e+00,9.983784556388854980e-01
1.000000000000000000e+00,9.984666705131530762e-01
1.000000000000000000e+00,9.985465407371520996e-01
1.000000000000000000e+00,9.990906119346618652e-01
1.000000000000000000e+00,9.979118704795837402e-01
1.000000000000000000e+00,9.992714524269104004e-01
1.000000000000000000e+00,9.987931847572326660e-01
1.000000000000000000e+00,9.992765784263610840e-01
1.000000000000000000e+00,9.980414509773254395e-01
1.000000000000000000e+00,9.973716139793395996e-01
1.000000000000000000e+00,1.000811815261840820e+00
1.000000000000000000e+00,9.988589882850646973e-01
1.000000000000000000e+00,9.980474114418029785e-01
1.000000000000000000e+00,9.991335272789001465e-01
1.000000000000000000e+00,9.971892237663269043e-01
1.000000000000000000e+00,9.989197850227355957e-01
1.000000000000000000e+00,9.979414343833923340e-01
1.000000000000000000e+00,1.000789165496826172e+00
1.000000000000000000e+00,9.995318055152893066e-01
1.000000000000000000e+00,9.991877675056457520e-01
1.000000000000000000e+00,9.992658495903015137e-01
1.000000000000000000e+00,9.996274113655090332e-01
1.000000000000000000e+00,9.994871020317077637e-01
1.000000000000000000e+00,1.000839471817016602e+00
1.000000000000000000e+00,9.983362555503845215e-01
1.000000000000000000e+00,9.996729493141174316e-01
1.000000000000000000e+00,9.997232556343078613e-01
1.000000000000000000e+00,9.987716078758239746e-01
1.000000000000000000e+00,9.976226687431335449e-01
1.000000000000000000e+00,9.995658993721008301e-01
1.000000000000000000e+00,9.989841580390930176e-01
1.000000000000000000e+00,9.991407990455627441e-01
1.000000000000000000e+00,9.987106919288635254e-01
1.000000000000000000e+00,9.995127320289611816e-01
1.000000000000000000e+00,1.000830888748168945e+00
1.000000000000000000e+00,1.000070929527282715e+00
1.000000000000000000e+00,9.972930550575256348e-01
1.000000000000000000e+00,9.985603690147399902e-01
1.000000000000000000e+00,9.993489384651184082e-01
1.000000000000000000e+00,9.993975758552551270e-01
1.000000000000000000e+00,9.999614357948303223e-01
1.000000000000000000e+00,9.984975457191467285e-01
1.000000000000000000e+00,9.991386532783508301e-01
1.000000000000000000e+00,9.998725056648254395e-01
1.000000000000000000e+00,9.980960488319396973e-01
1.000000000000000000e+00,9.969817996025085449e-01
1.000000000000000000e+00,9.983769059181213379e-01
1.000000000000000000e+00,9.994131922721862793e-01
1.000000000000000000e+00,1.000344395637512207e+00
1.000000000000000000e+00,9.992521405220031738e-01
1.000000000000000000e+00,9.999801516532897949e-01
1.000000000000000000e+00,9.995283484458923340e-01
